Season,Week,Date,Team,Opponent,PointsSurrendered,TouchdownsScored,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnTouchdowns,KickReturnLong
2010,1,9/12/2010 4:15:00 PM,ARI,STL,13,0,58,1,2,13,5,2,2,0,0,3,69,0,1,0,5,31,0,9,3,82,0,31
2010,1,9/12/2010 1:00:00 PM,ATL,PIT,15,0,45,23,3,25,4,0,0,0,0,1,1,0,0,0,2,20,0,14,4,82,0,22
2010,1,9/13/2010 7:00:00 PM,BAL,NYJ,9,0,28,11,2,14,1,2,1,0,0,0,0,0,0,0,4,5,0,10,4,72,0,23
2010,1,9/12/2010 1:00:00 PM,BUF,MIA,15,0,52,38,3,18,5,0,0,-1,0,0,0,0,0,0,3,30,0,19,1,11,0,11
2010,1,9/12/2010 1:00:00 PM,CAR,NYG,31,0,49,19,1,5,5,1,1,-10,0,3,33,0,1,1,2,38,0,28,7,172,0,45
2010,1,9/12/2010 1:00:00 PM,CHI,DET,14,0,41,6,2,23,3,2,2,9,0,1,7,0,0,0,5,17,0,9,3,70,0,30
2010,1,9/12/2010 1:00:00 PM,CIN,NE,38,0,43,18,0,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,4,70,0,19
2010,1,9/12/2010 1:00:00 PM,CLE,TB,17,0,46,19,3,13,7,1,2,1,0,1,26,0,0,0,3,29,0,15,4,57,0,18
2010,1,9/12/2010 8:20:00 PM,DAL,WAS,13,0,39,14,1,10,3,1,0,0,0,0,0,0,0,0,1,11,0,11,3,50,0,21
2010,1,9/12/2010 1:00:00 PM,DEN,JAX,24,0,42,4,1,5,1,0,0,0,0,0,0,0,0,0,1,4,0,4,3,62,0,25
2010,1,9/12/2010 1:00:00 PM,DET,CHI,19,0,56,4,4,10,3,4,3,10,0,1,23,0,0,0,2,3,0,3,3,68,0,32
2010,1,9/12/2010 4:15:00 PM,GB,PHI,20,0,41,4,6,28,7,2,1,0,0,0,0,0,0,0,1,10,0,10,5,156,0,51
2010,1,9/12/2010 1:00:00 PM,HOU,IND,24,0,44,21,2,15,5,1,1,3,0,0,0,0,0,0,1,39,0,39,3,79,0,33
